s2_id,S2_Title,S2_Citations,S2_NonSelfCitations
ARXIV:2501.10509,Stellar Stripping and Disruption in Disks around Supermassive Black Hole Binaries: Repeating Nuclear Transients Prior to LISA Events,0,0
ARXIV:2501.10508,REBELS-IFU: Dust Build-up in Massive Galaxies at Redshift 7,2,2
ARXIV:2501.10507,Gamma-ray burst prompt emission spectra at high energies,0,0
ARXIV:2501.10506,High-significance detection of correlation between the unresolved gamma-ray background and the large-scale cosmic structure,2,2
ARXIV:2501.10502,MAGIS (Measuring Abundances of red super Giants with Infrared Spectroscopy) project,0,0
ARXIV:2501.10501,Connection between steep radio spectral slopes and dust extinction in QSOs: evidence for outflow-driven shocks in dusty QSOs,1,1
ARXIV:2501.10500,A Bayesian Approach to Inferring Accretion Signatures in Young Stellar Objects: A Case Study with VIRUS,0,0
ARXIV:2501.10488,Searching for substellar companion candidates with Gaia. III. Search for companions to members of young associations,0,0
ARXIV:2501.10486,Enhancing the reliability of machine learning for gravitational wave parameter estimation with attention-based models,2,2
ARXIV:2501.10323,Sign switching in dark sector coupling interactions as a candidate for resolving cosmological tensions,19,19
ARXIV:2501.10587,Selecting samples of galaxies with fewer Fingers-of-God,7,7
ARXIV:2501.09883,Identification of 4876 Bent-tail Radio Galaxies in the FIRST Survey Using Deep Learning Combined with Visual Inspection,3,3
ARXIV:2501.09855,"So Long Kolmogorov: The Forward and Backward Turbulence Cascades in a Supernovae-driven, Multiphase Interstellar Medium",4,4
ARXIV:2501.09630,Chern-Simons gravitational term coupled to an isocurvature field,2,2
ARXIV:2501.09602,The NuSTAR view of five changing-look active galactic nuclei,0,0
ARXIV:2501.09594,Constraints on Cosmic Rays Acceleration in Bright Gamma-ray Bursts with Observations of Fermi,0,0
ARXIV:2501.09586,The White Dwarf Pareto: Tracing Mass Loss in Binary Systems,2,2
ARXIV:2501.09585,New Methods of Identifying AGN in the Early Universe using Spectroscopy and Photometry in the JWST Era,1,1
ARXIV:2501.09580,An Intermediate-mass Black Hole Lurking in A Galactic Halo Caught Alive during Outburst,2,2
ARXIV:2501.09573,Velocity fields and turbulence from cosmic filaments to galaxy clusters,0,0
ARXIV:2501.09558,A stellar census in globular clusters with MUSE. Metallicity spread and dispersion among first-population stars,1,1
ARXIV:2501.09547,WALLABY Pilot Survey and ASymba: Comparing H i Detection Asymmetries to the SIMBA Simulation,1,1
ARXIV:2501.09526,Populations of neutron star ultraluminous X-ray sources. Mind your bs and Bs,3,3
ARXIV:2501.09495,Revealing the χeff–q Correlation among Coalescing Binary Black Holes and Tentative Evidence for AGN-driven Hierarchical Mergers,5,5
ARXIV:2501.09494,On the robustness of exoplanet atmospheric detections: insights from extensive simulations,0,0
ARXIV:2501.09492,Spectropolarimetry of GRB 180427A: Evidence for Distinct Emission Sites with Varying Polarization,0,0
ARXIV:2501.09489,Mining the time axis with TRON. II. MeerKAT detects a stellar radio flare from a distant RS CVn candidate,1,1
ARXIV:2501.09488,"Mining the time axis with TRON. I. Millisecond pulsars in Omega Centauri, Terzan 5 and 47 Tucanae detected through MeerKAT interferometric imaging",1,1
ARXIV:2501.09476,Void spin distribution as a powerful probe of σ_8,1,1
ARXIV:2501.09390,The Mini-SiTian Array: Prospects of Searching for Tidal Disruption Events,0,0
ARXIV:2501.09644,Planetary Rhythms: Synchronous Circulation on Variably Irradiated Asynchronous Planets,0,0
ARXIV:2501.09882,Similar-mass versus diverse-mass planetary systems in wind-driven accretion discs,0,0
ARXIV:2501.09662,SHORES: Serendipitous H-ATLAS-fields Observations of Radio Extragalactic Sources with the ATCA. I. Catalog Generation and Analysis,1,1
ARXIV:2501.09724,Unveiling the origin of XMM-Newton soft proton flares. I. Design and validation of a response matrix for proton spectral analysis,1,1
ARXIV:2501.09854,"Chasing the Light: Shadowing, Collimation, and the Super-Eddington Growth of Infant Black Holes in JWST-Discovered AGNs",1,1
